NO,병원명,업무구분,대표전화,경도,위도,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료
1,국립정신건강센터,응급의료기관 이외 > 정신병원,02-2204-0114,37.564949,127.085698,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2,문경서정신건강의학과의원,응급의료기관 이외 > 의원,02-458-8811,37.563821,127.083403,서울특별시 광진구 능동로 390 (중곡동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,09:00~15:00,09:00~15:00
3,건대하늘정신건강의학과의원,응급의료기관 이외 > 의원,02-463-1331,37.5413,127.0672,"서울특별시 광진구 아차산로 213, 웅진빌딩 4층 (화양동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~14:00,,
4,잘듣는정신의학과의원,응급의료기관 이외 > 의원,02-498-7582,37.54831,127.070936,"서울특별시 광진구 광나루로 369, 2층 203호 (군자동, 광진두산위브파크)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
5,동서울정신건강의학과의원,응급의료기관 이외 > 의원,02-446-1172,37.544153,127.085138,"서울특별시 광진구 자양로 186-1, 1층 (구의동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,
6,건국대학교병원,지역응급의료센터 > 상급종합병원,1588-1533,37.540561,127.071886,서울특별시 광진구 능동로 120-1 (화양동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:00,,
7,화인정신건강의학과의원,응급의료기관 이외 > 의원,02-452-7205,37.53731,127.097802,"서울특별시 광진구 광나루로56길 63, 프라임프라자 305호 (구의동)",10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,,,
8,구의연세정신건강의학과의원,응급의료기관 이외 > 의원,02-2201-5757,37.536216,127.08319,서울특별시 광진구 자양로 95 (자양동),10:00~18:30,10:00~18:30,,10:00~18:30,10:00~18:30,09:30~13:00,,
9,푸른마음정신과의원,응급의료기관 이외 > 의원,02-3436-1675,37.563927,127.083774,"서울특별시 광진구 능동로50길 8, 3,4,5층 (중곡동)",10:00~17:30,10:00~17:30,10:00~17:30,10:00~17:30,10:00~17:30,,,
10,김문엽정신건강의학과의원,응급의료기관 이외 > 의원,02-3437-2132,37.538514,127.089988,"서울특별시 광진구 아차산로 431, 상가1-205호 (구의동, 강변에스케이뷰)",13:00~16:30,09:00~16:30,09:00~16:30,09:00~16:30,09:00~16:30,09:00~13:00,,
11,서울우리아이정신건강의학과의원,응급의료기관 이외 > 의원,02-452-2100,37.535389,127.0934,"서울특별시 광진구 강변역로4길 10, 4층 (구의동, 강변역지너스타워)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:00~15:00,,
12,아이두정신건강의학과의원,응급의료기관 이외 > 의원,02-2038-3388,37.541589,127.071124,"서울특별시 광진구 능동로 117, 4층 (화양동)",10:00~19:00,10:00~20:00,10:00~19:00,10:00~20:00,10:00~19:00,09:00~14:00,,
13,조근호정신건강의학과의원,응급의료기관 이외 > 의원,02-2201-2900,37.557139,127.080385,"서울특별시 광진구 천호대로 559, 아스하임 501호 (중곡동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,,
14,연세가정의원,응급의료기관 이외 > 의원,02-463-0875,37.56496,127.080893,"서울특별시 광진구 면목로 130, 2층 (중곡동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,09:00~18:00,09:00~13:00,,
15,조광신경정신과의원,응급의료기관 이외 > 의원,02-467-2323,37.563097,127.082957,"서울특별시 광진구 능동로 380 (중곡동,(2,3,4층))",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
16,전재진정신과의원,응급의료기관 이외 > 의원,02-456-7482,37.561721,127.082939,"서울특별시 광진구 긴고랑로 64, 2,3,4층 (중곡동)",10:00~17:30,10:00~17:30,10:00~17:30,10:00~17:30,10:00~17:30,10:00~12:00,,
17,동화정신건강의학과의원,응급의료기관 이외 > 의원,02-466-5238,37.56381,127.08284,서울특별시 광진구 능동로 385-1 (중곡동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~14:00,,
18,샤인유의원,응급의료기관 이외 > 의원,02-572-1033,37.541721,127.066046,"서울특별시 광진구 아차산로 205, 2층 (화양동)",10:30~20:00,10:30~20:00,10:30~20:00,10:30~20:00,10:30~21:00,10:00~15:00,,
19,열린마음정신건강의학과의원,응급의료기관 이외 > 의원,02-3437-3441,37.553303,127.07711,"서울특별시 광진구 능동로 259, 성운빌딩 4층 (군자동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,,
20,Dr.고신경정신과의원,응급의료기관 이외 > 의원,02-467-6247,37.558388,127.080383,"서울특별시 광진구 능동로 324, 3층 (중곡동)",09:30~18:00,09:30~18:00,09:30~17:00,09:30~18:00,09:30~18:00,09:30~14:00,,
21,고은가정의학과의원,응급의료기관 이외 > 의원,02-463-3159,37.543521,127.069981,"서울특별시 광진구 능동로13길 39, 3층 (화양동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,,
22,로즈시티의원,응급의료기관 이외 > 의원,02-452-7878,37.540552,127.071324,"서울특별시 광진구 능동로 110, 스타시티 영존빌딩 A동 304호 (화양동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~16:00,,
23,유지민정신건강의학과의원,응급의료기관 이외 > 의원,02-452-2030,37.537414,127.083121,"서울특별시 광진구 자양로 109, 202호 (자양동, 구의현대홈시티)",10:00~18:00,10:00~14:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,,
24,해들정신건강의학과의원,응급의료기관 이외 > 의원,02-465-0300,37.540803,127.06901,"서울특별시 광진구 아차산로 229, 한림타워 4층 404호 (화양동)",10:00~19:00,10:00~19:00,14:00~21:00,10:00~19:00,10:00~19:00,10:00~15:00,,
25,진광준외과의원,응급의료기관 이외 > 의원,02-452-6556,37.544373,127.086501,"서울특별시 광진구 광나루로36길 14, 2층 (구의동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,09:30~13:00,,
26,성모평온한마음의원,응급의료기관 이외 > 의원,02-6237-9357,37.555554,127.078916,"서울특별시 광진구 능동로 290, 삼일빌딩 7층 (능동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:30,09:30~18:30,09:30~13:30,,
27,성모라이프정신건강의학과의원,응급의료기관 이외 > 의원,02-457-0550,37.541559,127.095004,"서울특별시 광진구 광나루로 604, 진넥스 베르디엠 201호 (구의동)",09:30~18:30,09:30~18:30,14:00~18:30,09:30~18:30,09:30~18:30,09:30~14:00,,
28,굿모닝정신과의원,응급의료기관 이외 > 의원,02-466-3575,37.540525,127.067633,"서울특별시 광진구 아차산로 220, 203호 (자양동)",10:00~21:00,10:00~19:00,10:00~19:00,14:00~21:00,10:00~19:00,10:00~14:00,,
끝
